IR,Red
66877,72012
66881,72040
66848,71997
66887,71995
66859,72002
66859,71979
66821,71962
66834,71933
66808,71935
66805,71908
66802,71909
66811,71890
66811,71904
66808,71875
66807,71891
66790,71855
66844,71868
66798,71860
66840,71884
66809,71845
66818,71868
66805,71861
66818,71859
66778,71887
66823,71864
66795,71868
66814,71865
66807,71899
66802,71848
66807,71910
66799,71872
66849,71900
66817,71877
66817,71909
66808,71912
66812,71889
66775,71929
66819,71893
66799,71919
66819,71906
66828,71930
66794,71887
66812,71908
66803,71897
66831,71935
66806,71909
66847,71920
66811,71939
66852,71925
66812,71963
66821,71931
66785,71952
66831,71928
66840,71965
66821,71920
66852,71984
66810,71935
66837,71950
66809,71967
66866,71972
66827,71993
66819,71970
66841,71974
66822,71959
66884,71983
66836,71985
66866,71987
66824,71984
66856,71995
66829,72014
66866,72000
66848,72024
66840,71979
66842,71993
66851,72013
66841,72040
66852,71974
66880,72017
66855,71997
66870,72007
66816,72029
66836,72019
66841,72045
66860,72025
66852,72054
66850,72027
66870,72051
66846,72018
66837,72017
66837,72016
66845,71982
66821,71968
66826,71958
66788,71957
66797,71923
66816,71929
66800,71890
66827,71901
66794,71888
66821,71892
66778,71891
66810,71895
66796,71912
66800,71879
66800,71907
66794,71873
66811,71904
66807,71890
66811,71884
66761,71905
66801,71887
66801,71915
66785,71895
66806,71915
66805,71891
66820,71922
66794,71915
66814,71937
66811,71924
66821,71905
66812,71917
66824,71920
66767,71936
66805,71913
66768,71960
66790,71910
66838,71956
66797,71902
66827,71925
66801,71925
66812,71950
66810,71937
66803,71937
66812,71958
66809,71936
66815,71981
66803,71947
66824,71960
66825,71951
66837,71984
66822,71936
66842,71962
66839,71958
66840,71971
66800,71972
66826,71968
66809,71984
66842,71990
66812,71989
66844,71971
66852,71987
66809,71981
66837,71995
66804,71987
66861,72003
66804,72017
66851,71990
66801,72023
66803,72003
66844,72020
66791,71937
66824,71970
66781,71929
66808,71916
66802,71914
66781,71901
66749,71916
66769,71881
66776,71913
66778,71874
66826,71876
66775,71868
66777,71881
66754,71894
66786,71869
66766,71922
66778,71878
66792,71904
66771,71873
66792,71881
66769,71885
66787,71885
66768,71924
66810,71924
66772,71919
66804,71909
66780,71948
66775,71900
66792,71952
66780,71912
66780,71945
66783,71906
66818,71946
66777,71909
66788,71925
66766,71912
66816,71920
66770,71947
66766,71934
66792,71950
66760,71909
66815,71919
66772,71928
66802,71952
66761,71976
66772,71952
66798,71983
66797,71936
66832,71967
66765,71948
66794,71963
66780,71966
66801,71966
66799,72000
66798,71956
66817,71966
66800,71977
66832,71992
66789,71981
66808,72002
66771,72003
66801,71992
66787,72015
66793,71979
66822,72015
66816,71972
66812,72005
66811,71966
66836,72022
66813,72016
66824,72008
66797,72050
66825,72014
66801,72046
66806,72001
66836,72038
66822,72005
66834,72029
66807,72049
66820,72042
66812,72068
66832,72032
66811,72064
66819,72058
66805,72080
66825,72048
66844,72087
66799,72051
66827,72082
66817,72068
66854,72054
66789,72079
66804,72011
66810,72013
66774,71956
66800,71968
66771,71912
66775,71929
66751,71918
66783,71911
66762,71916
66766,71892
66752,71907
66757,71879
66781,71901
66750,71867
66767,71914
66757,71863
66759,71884
66746,71882
66775,71870
66729,71910
66766,71894
66743,71920
66741,71877
66761,71904
66746,71885
66740,71919
66743,71878
66792,71918
66760,71916
66785,71915
66753,71905
66769,71909
66734,71940
66780,71916
66736,71958
66763,71920
66769,71915
66757,71905
66772,71935
66765,71896
66792,71934
66776,71942
66799,71945
66757,71966
66770,71947
66781,71936
66777,71905
66793,71935
66762,71934
66788,71948
66773,71928
66774,71941
66746,71964
66783,71965
66751,71999
66759,71968
66781,72000
66764,71972
66784,72005
66770,71969
66793,72004
66785,71995
66821,72004
66765,72002
66797,71986
66759,72026
66766,71998
66777,72021
66775,72011
66785,72038
66787,72000
66811,72020
66777,71995
66803,72012
66788,72000
66804,72002
66792,72046
66787,72014
66782,72053
66792,72029
66808,72044
66799,72016
66810,72024
66804,72036
66808,72031
66776,72053
66799,72034
66785,72037
66773,71980
66781,71986
66752,71967
66764,71946
66722,71920
66766,71944
66728,71922
66740,71894
66714,71932
66730,71876
66737,71921
66727,71862
66711,71904
66716,71859
66754,71895
66719,71852
66751,71865
66710,71885
66742,71872
66707,71918
66727,71877
66724,71898
66715,71895
66747,71936
66729,71861
66770,71907
66733,71913
66757,71897
66723,71917
66744,71908
66743,71942
66740,71906
66738,71929
66731,71907
66774,71915
66734,71921
66753,71907
66723,71917
66763,71906
66717,71955
66736,71944
66728,71961
66733,71917
66754,71934
66741,71913
66777,71951
66742,71917
66779,71959
66751,71941
66764,71961
66731,71959
66768,71950
66745,71965
66736,71957
66754,71975
66744,71957
66737,71977
66750,71950
66789,71997
66748,71976
66790,71990
66747,71995
66769,71990
66747,71998
66777,71982
66737,72038
66782,71985
66758,72007
66754,71986
66789,72027
66751,71999
66799,72022
66766,72028
66783,72024
66756,72023
66785,72030
66743,72015
66766,72040
66760,72074
66782,72031
66780,72058
66772,71982
66786,71999
66741,71988
66743,71946
66732,71944
66719,71912
66727,71933
66718,71874
66748,71885
66714,71865
66715,71879
66705,71895
66707,71888
66692,71887
66737,71894
66677,71904
66710,71876
66707,71901
66689,71860
66716,71867
66694,71858
66718,71899
66687,71834
66728,71896
66717,71866
66725,71890
66720,71895
66746,71924
66690,71907
66713,71888
66713,71934
66712,71901
66722,71915
66709,71889
66745,71914
66701,71905
66756,71921
66706,71900
66735,71912
66683,71913
66744,71901
66715,71950
66720,71932
66696,71955
66705,71922
66685,71940
66741,71932
66731,71955
66709,71912
66755,71953
66718,71938
66717,71945
66701,71953
66734,71933
66710,71995
66721,71954
66712,71980
66718,71974
66723,71976
66724,71956
66742,71987
66714,71938
66741,71972
66726,72001
66748,71975
66714,72002
66719,71970
66721,72001
66728,71975
66772,71996
66738,71999
66758,71999
66719,72003
66737,72002
66734,72008
66711,72007
66753,72035
66740,71991
66774,72019
66740,72017
66745,72031
66729,72008
66732,71991
66735,72023
66741,71967
66718,71974
66702,71930
66727,71915
66700,71879
66698,71889
66676,71902
66693,71892
66647,71905
66706,71866
66653,71895
66701,71866
66695,71900
66672,71836
66685,71900
66681,71852
66700,71882
66669,71830
66686,71862
66665,71861
66692,71859
66673,71902
66697,71857
66677,71909
66700,71877
66701,71889
66694,71861
66709,71893
66687,71874
66704,71900
66694,71897
66702,71900
66687,71905
66709,71886
66670,71898
66693,71885
66671,71906
66693,71906
66690,71917
66676,71899
66709,71906
66693,71904
66703,71906
66665,71922
66691,71898
66687,71979
66695,71919
66718,71944
66711,71935
66736,71973
66693,71928
66729,71949
66697,71949
66714,71957
66679,71963
66724,71955
66703,71987
66705,71973
66722,71982
66704,71945
66746,71969
66715,71980
66724,72001
66693,71994
66718,72001
66713,72036
66718,71990
66714,72020
66726,71979
66752,72003
66731,72010
66736,72014
66713,72029
66718,72029
66722,72048
66748,72036
66743,72073
66755,72023
66738,72066
66734,72040
66760,72066
66735,72035
66764,72053
66742,72057
66755,72067
66724,72081
66735,72052
66725,72038
66703,71986
66728,71994
66694,71935
66724,71937
66678,71920
66687,71898
66663,71912
66682,71864
66670,71880
66657,71843
66664,71854
66655,71835
66658,71822
66655,71805
66655,71811
66641,71799
66648,71822
66621,71814
66655,71815
66637,71820
66644,71808
66648,71852
66648,71823
66675,71842
66643,71862
66661,71856
66643,71886
66658,71845
66661,71884
66652,71838
66671,71884
66675,71843
66666,71856
66666,71867
66671,71870
66643,71895
66674,71874
66655,71906
66668,71868
66637,71905
66670,71860
66671,71899
66668,71864
66705,71906
66666,71895
66711,71897
66649,71917
66676,71907
66665,71928
66681,71928
66673,71960
66665,71932
66693,71922
66679,71925
66738,71946
66664,71946
66700,71953
66667,71950
66687,71965
66686,71953
66688,71972
66678,71977
66668,71945
66715,71974
66695,71959
66729,71990
66682,72000
66706,71970
66694,72022
66694,71977
66713,72029
66718,71977
66730,72013
66703,71987
66744,72010
66688,72005
66705,72002
66700,72037
66710,72040
66708,72043
66706,71995
66727,72041
66697,72041
66735,72049
66706,72080
66727,72052
66699,72067
66721,72044
66720,72079
66731,72039
66732,72038
66694,71992
66735,71989
66685,71962
66703,71954
66674,71922
66670,71914
66635,71925
66646,71873
66644,71875
66637,71869
66659,71871
66634,71854
66684,71862
66648,71879
66643,71835
66628,71870
66635,71828
66682,71840
66628,71823
66661,71824
66625,71842
66651,71841
66617,71863
66644,71853
66626,71874
66648,71859
66637,71882
66632,71848
66678,71868
66641,71889
66659,71875
66623,71913
66649,71869
66652,71912
66653,71846
66681,71906
66650,71878
66667,71880
66642,71895
66661,71900
66647,71894
66665,71914
66664,71908
66651,71899
66674,71928
66661,71899
66707,71916
66659,71890
66683,71936
66639,71934
66689,71928
66661,71954
66667,71910
66698,71944
66655,71927
66686,71940
66659,71933
66686,71964
66656,71958
66691,71953
66663,72005
66680,71969
66676,72006
66672,71969
66702,71997
66669,71983
66712,71994
66671,71992
66688,71981
66674,71997
66699,71984
66677,72030
66674,72014
66700,72028
66672,71998
66685,72011
66696,72011
66693,72003
66665,72041
66701,72025
66716,72055
66699,72024
66702,72035
66708,72039
66720,72042
66706,72070
66696,72052
66717,72067
66705,72036
66716,72031
66681,71970
66700,71970
66675,71946
66676,71923
66635,71932
66634,71884
66637,71910
66631,71855
66657,71890
66626,71882
66650,71886
66624,71888
66657,71879
66630,71889
66655,71872
66622,71889
66629,71844
66634,71868
66632,71868
66635,71865
66608,71879
66639,71866
66630,71916
66636,71884
66618,71922
66649,71896
66649,71913
66643,71875
66641,71899
66637,71932
66654,71908
66606,71942
66639,71896
66646,71931
66642,71892
66677,71902
66630,71889
66664,71905
66633,71893
66660,71929
66621,71950
66637,71919
66639,71941
66662,71907
66691,71922
66640,71934
66677,71939
66657,71953
66676,71953
66665,71982
66656,71938
66700,72000
66656,71939
66682,71965
66654,71986
66697,71985
66658,71989
66689,71991
66643,72017
66685,71979
66668,72010
66652,71989
66705,72006
66678,72003
66718,72012
66674,72010
66694,72011
66688,72012
66700,72005
66671,72022
66699,72026
66656,72028
66678,72012
66685,72030
66681,72014
66723,72021
66669,72038
66711,72034
66672,72060
66703,72023
66674,72070
66696,72068
66695,72075
66683,72016
66721,72055
66679,72033
66692,72045
66669,71993
66679,72000
66637,71963
66663,71937
66633,71940
66649,71916
66603,71936
66641,71898
66634,71902
66610,71887
66660,71876
66620,71908
66641,71862
66593,71900
66604,71859
66610,71885
66625,71840
66662,71876
66608,71868
66628,71873
66622,71860
66623,71861
66633,71872
66615,71877
66629,71911
66623,71894
66610,71925
66632,71908
66641,71894
66614,71863
66656,71894
66632,71900
66648,71900
66611,71910
66630,71904
66635,71908
66634,71887
66640,71923
66631,71924
66661,71936
66615,71925
66675,71935
66632,71933
66666,71928
66630,71947
66652,71928
66620,71960
66646,71935
66643,71994
66628,71934
66673,71951
66645,71943
66681,71969
66646,71958
66677,71987
66637,71976
66676,71976
66662,72001
66643,71964
66661,71981
66648,71973
66691,71994
66653,71968
66689,71974
66658,72005
66685,72000
66652,72019
66671,72024
66668,72021
66671,71997
66708,72040
66666,72037
66675,72036
66681,72034
66676,72050
66649,72070
66682,72047
66683,72056
66675,72056
66711,72068
66661,72058
66716,72047
66672,72080
66679,72065
66700,72103
66671,72057
66715,72077
66686,72037
66729,72082
66692,72064
66700,72069
66658,72070
66666,72029
66645,72070
66639,71991
66668,71994
66635,71964
66642,71968
66638,71925
66660,71952
66627,71924
66647,71928
66593,71917
66623,71885
66592,71928
66625,71899
66628,71902
66612,71865
66639,71892
66612,71857
66630,71885
66624,71877
66610,71881
66600,71923
66613,71872
66644,71919
66621,71888
66648,71922
66606,71888
66625,71924
66620,71923
66612,71888
66634,71938
66613,71923
66619,71924
66605,71885
66635,71928
66635,71938
66639,71928
66617,71973
66612,71916
66631,71951
66622,71924
66666,71961
66626,71916
66657,71954
66615,71964
66653,71942
66642,71965
66631,71969
66632,71972
66649,71928
66652,72003
66630,71972
66683,71986
66642,71988
66668,71991
66634,71984
66651,71990
66625,72008
66648,72003
66658,72040
66651,71997
66647,72023
66633,72027
66683,72001
66650,72029
66656,72032
66635,72081
66677,72051
66674,72059
66662,72016
66684,72039
66668,72042
66668,72053
66662,72076
66649,72048
66661,72074
66659,72052
66690,72069
66682,72072
66680,72065
66682,72092
66684,72083
66665,72113
66683,72077
66691,72118
66673,72089
66717,72115
66688,72085
66716,72091
66677,72106
66698,72093
66645,72075
66661,72016
66641,72023
66625,71983
66630,71973
66624,71934
66632,71960
66607,71918
66639,71917
66596,71888
66624,71895
66602,71909
66608,71896
66595,71930
66596,71898
66600,71912
66611,71868
66628,71894
66576,71875
66633,71890
66597,71883
66599,71894
66594,71946
66621,71945
66612,71950
66612,71932
66623,71935
66617,71925
66652,71942
66618,71943
66624,71936
66618,71942
66624,71933
66617,71972
66599,71920
66611,71961
66605,71910
66659,71947
66637,71939
66632,71963
66602,71987
66622,71959
66630,71989
66605,71958
66649,71981
66605,71949
66647,71982
66637,71986
66635,71951
66644,71996
66638,72000
66614,72010
66639,71981
66636,72040
66635,71985
66655,72009
66645,71992
66669,72009
66645,72001
66657,71999
66625,72048
66646,72011
66641,72046
66638,72000
66646,72020
66640,71983
66677,72057
66627,72040
66654,72028
66645,72064
66657,72042
66640,72074
66644,72030
66651,72075
66654,72035
66679,72078
66657,72059
66667,72052
66648,72067
66685,72071
66658,72089
66667,72079
66632,72104
66664,72089
66655,72093
66635,72057
66671,72035
66628,71977
66641,72002
66616,71963
66652,71957
66594,71922
66619,71937
66583,71923
66623,71918
66603,71939
66592,71901
66609,71904
66591,71861
66596,71894
66580,71897
66609,71907
66558,71904
66586,71905
66594,71897
66577,71870
66595,71932
66586,71887
66622,71909
66580,71926
66595,71909
66605,71950
66593,71904
66614,71931
66602,71893
66628,71923
66589,71944
66643,71920
66600,71932
66624,71921
66586,71960
66612,71933
66607,71973
66607,71925
66623,71961
66604,71938
66616,71948
66599,71949
66607,71955
66617,71975
66599,71953
66604,71960
66613,71946
66648,71966
66614,71963
66625,71981
66611,71979
66651,71971
66590,72030
66621,71976
66619,72036
66623,71981
66638,72009
66611,71982
66614,72015
66634,72012
66642,72003
66606,72040
66620,72017
66636,72040
66637,72033
66636,72047
66628,72016
66645,72025
66643,72062
66624,72033
66605,72083
66650,72042
66643,72065
66648,72040
66679,72072
66639,72025
66666,72076
66631,72061
66670,72062
66610,72063
66659,72071
66618,72104
66655,72072
66621,72110
66657,72074
66678,72108
66638,72058
66656,72069
66632,72068
66667,72045
66602,72019
66642,72000
66603,72022
66595,71986
66605,71956
66604,71943
66604,71974
66587,71904
66621,71910
66597,71919
66587,71896
66562,71923
66603,71892
66571,71922
66582,71890
66586,71895
66560,71870
66598,71872
66574,71861
66612,71903
66562,71903
66582,71918
66539,71927
66572,71922
66559,71942
66588,71921
66553,71931
66579,71917
66586,71924
66590,71904
66596,71926
66575,71923
66590,71929
66563,71965
66602,71935
66565,71953
66551,71933
66601,71932
66572,71918
66625,71942
66598,71940
66619,71944
66596,71938
66618,71975
66580,71995
66611,71957
66577,72007
66599,71947
66603,71994
66588,71945
66626,71996
66592,71957
66626,71991
66606,71999
66611,71986
66585,72039
66609,71964
66616,72016
66603,71990
66622,72014
66619,71992
66622,72013
66607,72025
66646,72022
66572,72038
66615,72022
66622,72058
66609,72018
66603,72060
66617,72035
66638,72057
66621,72027
66633,72030
66610,72069
66636,72063
66619,72080
66608,72070
66624,72078
66630,72049
66622,72081
66626,72046
66658,72086
66636,72071
66649,72091
66618,72075
66655,72106
66653,72119
66633,72078
66643,72124
66644,72101
66664,72116
66643,72064
66660,72061
66613,72063
66627,72021
66589,72025
66592,71982
66589,71985
66569,71934
66608,71939
66562,71923
66557,71910
66566,71949
66586,71920
66568,71940
66562,71901
66566,71918
66557,71880
66588,71911
66567,71886
66584,71904
66555,71907
66576,71896
66549,71935
66558,71902
66582,71944
66579,71891
66603,71910
66568,71915
66599,71944
66582,71941
66592,71934
66557,71945
66578,71913
66561,71948
66547,71937
66590,71948
66576,71916
66618,71940
66556,71944
66563,71934
66581,71958
66565,71945
66591,71971
66582,71932
66637,71964
66590,71984
66590,71966
66592,72018
66577,71961
66591,71980
66568,71977
66610,72013
66576,71961
66599,71998
66575,71977
66592,71990
66587,72041
66586,72003
66598,72020
66593,72021
66605,72024
66607,71988
66634,72013
66597,72004
66622,72031
66598,72026
66605,72019
66598,72040
66586,72038
66608,72051
66609,72037
66643,72068
66611,72030
66607,72057
66611,72062
66626,72056
66609,72073
66620,72065
66618,72106
66611,72084
66635,72082
66619,72061
66653,72084
66627,72094
66642,72102
66636,72138
66629,72076
66622,72122
66620,72085
66640,72093
66618,72032
66600,72034
66581,72022
66595,71977
66562,71995
66564,71941
66562,71961
66558,71930
66584,71920
66548,71909
66602,71920
66544,71910
66568,71906
66530,71931
66566,71927
66556,71913
66552,71892
66562,71938
66555,71904
66608,71923
66555,71906
66579,71930
66539,71935
66572,71945
66547,71984
66573,71941
66562,71952
66564,71911
66600,71940
66546,71950
66583,71933
66556,71948
66574,71927
66534,71968
66545,71943
66571,71966
66553,71927
66614,71958
66578,71962
66580,71941
66548,71972
66570,71961
66573,72009
66577,71964
66603,71975
66567,71958
66609,71994
66554,72020
66603,71977
66553,71998
66568,71980
66581,72012
66580,71970
66596,72000
66570,72005
66593,72012
66571,72029
66602,72003
66600,72032
66587,72006
66571,72035
66598,72008
66610,72037
66569,72021
66628,72039
66606,72027
66619,72036
66582,72057
66582,72022
66594,72068
66589,72043
66634,72057
66595,72068
66635,72069
66611,72080
66623,72037
66581,72096
66594,72062
